Bigram,PMI
"('02', 'kk')",20.140357986511535
"('ağabeyinle', 'baban')",20.140357986511535
"('bavef', 'tavukuçluk')",20.140357986511535
"('barsak', 'vena')",20.140357986511535
"('baraj', 'gölü')",20.140357986511535
"('balkona', 'koşup')",20.140357986511535
"('bakkallar', 'duyunca')",20.140357986511535
"('bagaja', 'yerleştirdiği')",20.140357986511535
"('baban', 'döşememiş')",20.140357986511535
"('babaannesi', 'zahide')",20.140357986511535
"('aşamalar', 'biriside')",20.140357986511535
"('ağaca', 'ceketinin')",20.140357986511535
"('ağabeyini', 'görememenin')",20.140357986511535
"('047', '9507')",20.140357986511535
"('açmadaki', 'gecikmenin')",20.140357986511535
"('aç', 'dedi')",20.140357986511535
"('aziza', 'gemisi')",20.140357986511535
"('aygül', 'özmen')",20.140357986511535
"('axel', 'springer')",20.140357986511535
"('atilla', 'sinap')",20.140357986511535
"('asitin', 'varillere')",20.140357986511535
"('asansöre', '229')",20.140357986511535
"('arazisini', 'ekemediğini')",20.140357986511535
"('aplikasyonu', 'renklendirilmiş')",20.140357986511535
"('bayileri', 'dolaşarak')",20.140357986511535
"('başlar', 'kesilmeden')",20.140357986511535
"('başmemurluğa', 'götürülmek')",20.140357986511535
"('başvurup', '0541')",20.140357986511535
"('bildirilinceye', 'vazifesizlik')",20.140357986511535
"('bidonlara', 'doldurulmuş')",20.140357986511535
"('bidondan', 'bidona')",20.140357986511535
"('biceps', 'ankoru')",20.140357986511535
"('beşli', 'koltuğu')",20.140357986511535
"('beşiktaş', 'adliyesinde')",20.140357986511535
"('beykoz', 'riva')",20.140357986511535
"('beyannameleri', 'vermem')",20.140357986511535
"('beta', 'okur')",20.140357986511535
"('beslediği', 'güvercinleri')",20.140357986511535
"('beslediklerini', 'köpeklerinin')",20.140357986511535
"('beril', 'rana')",20.140357986511535
"('benzetilmesi', 'yaklaşma')",20.140357986511535
"('benimsemek', 'aühf')",20.140357986511535
"('belirtmeyi', 'unuttuğunu')",20.140357986511535
"('belirleyebileceğini', 'boğulabileceğini')",20.140357986511535
"('belgelemek', 'belgelenen')",20.140357986511535
"('bekçili', 'bariyerli')",20.140357986511535
"('bekleyip', 'beklediyse')",20.140357986511535
"('begeler', 'mercilerinden')",20.140357986511535
"('bedava', 'binmelerinin')",20.140357986511535
"('apartmana', 'apartmanla')",20.140357986511535
"('anterior', 'fraktürlere')",20.140357986511535
"('antenlerini', 'koyabilmeleri')",20.140357986511535
"('3x3cm', '4x2cm')",20.140357986511535
"('3573', 'zeytinciliğin')",20.140357986511535
"('3296', 'kazan')",20.140357986511535
"('30000', 'katilini')",20.140357986511535
"('298l', '3290')",20.140357986511535
"('27875e', '9997')",20.140357986511535
"('27310', '22095')",20.140357986511535
"('2429', 'arefe')",20.140357986511535
"('2402', '2375')",20.140357986511535
"('2400', 'vario')",20.140357986511535
"('2383', 'vekaletnemenin')",20.140357986511535
"('2185', '2758')",20.140357986511535
"('20491', '21645')",20.140357986511535
"('1976', 'kilimciler')",20.140357986511535
"('1608', 'umuru')",20.140357986511535
"('157087', 'kullanmama')",20.140357986511535
"('1459', 'ncu')",20.140357986511535
"('1421', '1422')",20.140357986511535
"('1333', 'çocuksuz')",20.140357986511535
"('11118660', '0308844')",20.140357986511535
"('096', 'tankerin')",20.140357986511535
"('09', 'sp')",20.140357986511535
"('3772', '3773')",20.140357986511535
"('5147', 'kesisine')",20.140357986511535
"('anki', 'psiklojik')",20.140357986511535
"('591', '609')",20.140357986511535
"('ankesörlü', 'telefondan')",20.140357986511535
"('alp', '11465')",20.140357986511535
"('allah', 'birinizin')",20.140357986511535
"('aleniliğin', 'sonucuda')",20.140357986511535
"('aleminyum', 'folyoya')",20.140357986511535
"('aldatmalarla', 'talimatlar')",20.140357986511535
"('aktiflerin', 'pasiflerin')",20.140357986511535
"('aksiller', 'torakostomi')",20.140357986511535
"('akgün', 'erdal')",20.140357986511535
"('akdederek', 'acenteyi')",20.140357986511535
"('aileye', 'mensubiyetinin')",20.140357986511535
"('ahzu', 'kabz')",20.140357986511535
"('acizliğini', 'örtbas')",20.140357986511535
"('abonenin', 'l2')",20.140357986511535
"('abisini', 'söylemektedir')",20.140357986511535
"('abdurrahman', 'karademir')",20.140357986511535
"('abdulmenaf', 'ekrem')",20.140357986511535
"('979', '1547')",20.140357986511535
"('857', '852')",20.140357986511535
"('611', '875')",20.140357986511535
"('5x3cm', 'mor')",20.140357986511535
"('bilgilendirildiğinin', 'belgelendirilememesi')",20.140357986511535
