Bigram,raw_freq
"('karar', 'veril')",0.008848027320224707
"('kanun', 'madde')",0.006596885866407822
"('temyiz', 'itiraz')",0.004788506013632603
"('bölge', 'adliye')",0.004681745450067823
"('adliye', 'mahkeme')",0.004083755299548527
"('veril', 'hüküm')",0.0037955672752018788
"('hüküm', 'temyiz')",0.003620034569463466
"('birlik', 'karar')",0.003190372424073918
"('verilen', 'hüküm')",0.003141904438161072
"('karar', 'verilme')",0.003065927595378774
"('oybirliği', 'karar')",0.003024009337291989
"('mahkeme', 'verilen')",0.0028714006789447863
"('temyiz', 'edilmek')",0.0027666050337278236
"('mahkeme', 'karar')",0.002752195632510491
"('cmk', 'madde')",0.002540639423728747
"('yasa', 'madde')",0.0025308148319896566
"('vekil', 'temyiz')",0.002427984105120512
"('tarih', 'birlik')",0.002426019186772694
"('tck', 'madde')",0.0023434926161643352
"('suç', 'tarih')",0.0022668608005994312
"('esas', 'karar')",0.0021869541211214966
"('görüşülüp', 'düşünül')",0.002008146551470054
"('hüküm', 'mahkumiyet')",0.0018607776753836994
"('ceza', 'mahkemesi')",0.001814929580601278
"('vekil', 'taraf')",0.0017920055332100674
"('5271', 'cmk')",0.0017212684726886174
"('hüküm', 'onanma')",0.001706859071471285
"('yerel', 'mahkeme')",0.0016976894525148006
"('kanun', 'uygun')",0.0016839350240800744
"('verilen', 'karar')",0.0016839350240800744
"('hukuk', 'daire')",0.001675420377906196
"('yürürlük', 'giren')",0.001670180595645348
"('tarih', 'oybirliği')",0.001601408453471716
"('istinaf', 'başvuru')",0.0015771744605152932
"('dava', 'kabul')",0.0015437708486023864
"('sürüklenen', 'çocuk')",0.001535256202428508
"('dosya', 'incelen')",0.0014998876721677831
"('resmi', 'gazete')",0.0014867882165156628
"('bozma', 'gerektir')",0.0014828583798200267
"('suç', 'sürüklenen')",0.00146255422355924
"('para', 'ceza')",0.0014573144412983918
"('hapis', 'ceza')",0.0014383202306028173
"('iptal', 'karar')",0.0013741328979074274
"('esas', 'redd')",0.0013702030612117912
"('temyiz', 'istek')",0.0013060157285164015
"('temyiz', 'istem')",0.0013007759462555534
"('incelenerek', 'düşünül')",0.0012948811912120992
"('edilmek', 'başvuru')",0.0012929162728642812
"('karar', 'verildik')",0.0012791618444295547
"('geçici', 'madde')",0.0012516529875601019
"('görülmüş', 'olduk')",0.0012378985591253756
"('temyiz', 'talep')",0.0012123546206037408
"('mahkumiyet', 'hüküm')",0.0011894305732125302
"('dosya', 'incelenerek')",0.001188775600429924
"('dosya', 'kapsam')",0.001178296035908228
"('kovuşturma', 'evre')",0.0011691264169517435
"('5320', 'kanun')",0.0011665065258213195
"('itiraz', 'redd')",0.0011606117707778653
"('süre', 'karar')",0.001146857342343139
"('karar', 'nitelik')",0.0011462023695605328
"('başvuru', 'süre')",0.0011396526417344727
"('adli', 'para')",0.0011344128594736247
"('taraf', 'temyiz')",0.0011219683766041102
"('tarih', 'dosya')",0.001079395145734719
"('olduk', 'hüküm')",0.001076775254604295
"('ceza', 'daire')",0.0010761202818216889
"('madde', 'hüküm')",0.0010708804995608408
"('görülmeyen', 'temyiz')",0.0010682606084304166
"('dava', 'konu')",0.0010512313160826602
"('yürürlük', 'bulunan')",0.0010479564521696301
"('anayasa', 'mahkemesi')",0.001045991533821812
"('müdafii', 'temyiz')",0.0010217575408653892
"('tarih', 'yürürlük')",0.0010197926225175712
"('onanma', 'tarih')",0.0010119329491262991
"('tetkik', 'hakim')",0.0010021083573872088
"('hakim', 'taraf')",0.0009994884662567847
"('1412', 'madde')",0.0009994884662567847
"('madde', 'değişik')",0.0009988334934741786
"('dava', 'dosya')",0.0009955586295611486
"('süre', 'iç')",0.0009909738200829066
"('evre', 'geçil')",0.0009896638745176944
"('itiraz', 'ret')",0.0009870439833872704
"('veril', 'taraf')",0.0009844240922568463
"('5237', 'tck')",0.0009837691194742402
"('iş', 'esas')",0.0009824591739090282
"('istek', 'redd')",0.000977874364430786
"('uygun', 'hüküm')",0.000977874364430786
"('tutanak', 'belge')",0.0009595351265178176
"('madde', 'uygulanma')",0.0009595351265178176
"('uygulanma', 'gereken')",0.0009490555619961213
"('temyiz', 'sebep')",0.0009470906436483032
"('gazete', 'yürürlük')",0.0009366110791266069
"('taraf', 'düzenlenen')",0.0009366110791266069
"('temyiz', 'dilekçe')",0.0009300613513005467
"('düzenlenen', 'rapor')",0.0009248215690396985
"('hüküm', 'bozulma')",0.0009241665962570926
"('kabul', 'karar')",0.0009235116234744866
"('7188', 'kanun')",0.0009215467051266685
"('suç', 'kurulan')",0.0009130320589527902
"('taraf', 'görülen')",0.0009110671406049721
