Trigram,PMI
"('3573', 'zeytinciliğin', 'yabanilerinin')",40.28071597302307
"('l2', 'l3', 'trafosunun')",40.28071597302307
"('morbeyin', 'uygulamalarca', 'yönlendirildiği')",40.28071597302307
"('milliyetçiliğini', 'türkçülüğü', 'sayan')",40.28071597302307
"('milletinin', 'ezeli', 'ebedi')",40.28071597302307
"('maliyetine', 'gerçeklerden', 'temenniden')",40.28071597302307
"('maksillada', 'anterior', 'fraktürlere')",40.28071597302307
"('mahallelere', 'hendekler', 'kazarak')",40.28071597302307
"('maddesi̇', 'uyarinca', 'mükerri̇rlere')",40.28071597302307
"('lobral', 'patolojileri', 'göstermede')",40.28071597302307
"('lamine', 'mrbl', '2400')",40.28071597302307
"('lady', 'aziza', 'gemisi')",40.28071597302307
"('kürtlerin', 'çizgisidir', 'kobane')",40.28071597302307
"('abonenin', 'l2', 'l3')",40.28071597302307
"('kötülenmesi', 'müşterilerini', 'kapmaya')",40.28071597302307
"('kuruçaydan', 'gelecem', 'yeşilovada')",40.28071597302307
"('korpu', 'çökme', 'sakrum')",40.28071597302307
"('korkuluğuna', 'tutunup', 'gitmemek')",40.28071597302307
"('korkuluklardaki', 'sunni', 'çim')",40.28071597302307
"('konforunun', 'bekçili', 'bariyerli')",40.28071597302307
"('kocanla', 'yiyeceksin', 'gözün')",40.28071597302307
"('klimma', 'ünite', 'motorunun')",40.28071597302307
"('kanununiyeye', 'müktesepleri', 'ecnebi')",40.28071597302307
"('kalkinmiş', 'manşeti', 'haberde')",40.28071597302307
"('mrbl', '2400', 'vario')",40.28071597302307
"('muzafer', 'yel', 'mecidin')",40.28071597302307
"('müşterilerini', 'kapmaya', 'dürüstlüğe')",40.28071597302307
"('nadide', 'güzellik', 'ölçütlerine')",40.28071597302307
"('türüdü', 'aygül', 'özmen')",40.28071597302307
"('sürgülü', 'nemlendirme', 'kumanda')",40.28071597302307
"('sürdüreceğim', 'olduğumu', 'bilmiyorsunuz')",40.28071597302307
"('sorumlusundan', 'bayileri', 'dolaşarak')",40.28071597302307
"('sinirler', 'ekstraoküler', 'kaslar')",40.28071597302307
"('sinirlendiği', 'dilini', 'keser')",40.28071597302307
"('seda', 'türüdü', 'aygül')",40.28071597302307
"('sağlayamayan', 'acizliğini', 'örtbas')",40.28071597302307
"('rüya', 'ritüeller', 'dualarla')",40.28071597302307
"('rezonans', 'görüntülemenin', 'lobral')",40.28071597302307
"('raflar', 'bölmeye', 'gizlenmiş')",40.28071597302307
"('problemi', 'bakkallar', 'duyunca')",40.28071597302307
"('pişirmiş', 'mantar', 'yemeğini')",40.28071597302307
"('pip', 'eklemde', 'ampüte')",40.28071597302307
"('penceresi', 'uygunsuz', 'hareketlerde')",40.28071597302307
"('pencerede', 'sinekliği', 'pencereyi')",40.28071597302307
"('patoloji', 'dikkati', 'i̇ncelemeğ')",40.28071597302307
"('pakette', 'içimlik', 'bonzai')",40.28071597302307
