Trigram,PMI
"('2400', 'vario', 'hotmelt')",41.08412341501654
"('kabar', 'dökül', 'korozyon')",41.08412341501654
"('kökenli', 'silikat', 'gözenekli')",41.08412341501654
"('lami', 'mrbl', '2400')",41.08412341501654
"('louis', 'vuittion', 'malletier')",41.08412341501654
"('macrorecipes', 'macrostyle', 'mcfinefood')",41.08412341501654
"('macrostyle', 'mcfinefood', 'by')",41.08412341501654
"('mrbl', '2400', 'vario')",41.08412341501654
"('paranazal', 'sinüs', 'havalanma')",41.08412341501654
"('rezistans', 'sürgülü', 'nemlendir')",41.08412341501654
"('sağlayamayan', 'acizlik', 'örtbas')",41.08412341501654
"('sebiala', 'sebil', 'sebinehir')",41.08412341501654
"('seda', 'türüdü', 'aytekin')",41.08412341501654
"('teixeria', 'cortro', 'peri')",41.08412341501654
"('tekrarlayan', 'döngü', 'halinde')",41.08412341501654
"('türüdü', 'aytekin', 'aygül')",41.08412341501654
"('vena', 'kav', 'inferiorda')",41.08412341501654
"('volkanik', 'kökenli', 'silikat')",41.08412341501654
"('çekum', 'ileumda', 'perforasyon')",41.08412341501654
"('şakir', 'kerem', 'mine')",41.08412341501654
"('alpet', 'creditwest', 'assos')",41.08412341501654
"('korkuluklardaki', 'sunni', 'çim')",41.08412341501654
"('mc', 'vicar', 'colombani')",41.08412341501654
"('i̇ncelemeğ', 'paranazal', 'sinüs')",41.08412341501654
"('europa', 'di', 'stefano')",41.08412341501654
"('atilla', 'çiloğlu', 'sinap')",41.08412341501654
"('bahir', 'sezgin', 'servet')",41.08412341501654
"('boyle', 'bates', 'buckley')",41.08412341501654
"('harris', 'boyle', 'bates')",41.08412341501654
"('centro', 'europa', 'di')",41.08412341501654
"('creditwest', 'assos', 'pera')",41.08412341501654
"('ct', 'bulbus', 'okuli')",41.08412341501654
"('dokunup', 'penis', 'sürterek')",41.08412341501654
"('düzenbislik', 'noktasal', 'hiperekojen')",41.08412341501654
"('bulbus', 'okuli', 'bilateral')",41.08412341501654
"('eyrenci', 'taşkent', 'ulucan')",41.08412341501654
"('gs461', 'gs469', 'gs470')",41.08412341501654
"('gs360', 'gs410', 'gs411')",41.08412341501654
"('gs410', 'gs411', 'gs412')",41.08412341501654
"('gs411', 'gs412', 'gs460')",41.08412341501654
"('gs412', 'gs460', 'gs461')",41.08412341501654
"('gs460', 'gs461', 'gs469')",41.08412341501654
"('gs265', 'gs360', 'gs410')",41.08412341501654
"('mercedes', 'e250', 'cgi̇')",40.08412341501654
"('milliyetçilik', 'türkçülük', 'sayan')",40.08412341501654
"('more', 'macrocenter', 'macronews')",40.08412341501654
"('muzafer', 'yel', 'mecid')",40.08412341501654
"('okşayan', 'beğenilen', 'tekinalp')",40.08412341501654
"('or', 'pu', 'çocuğu')",40.08412341501654
"('recai', 'seçkin', 'armağan')",40.08412341501654
"('ozan', 'şakir', 'kerem')",40.08412341501654
"('pnömotoraksa', 'çekum', 'ileumda')",40.08412341501654
"('ravenna', 'lima', 'mil')",40.08412341501654
"('workover', 'log', 'wireli')",40.08412341501654
"('çikolata', 'kek', 'kraker')",40.08412341501654
"('çökme', 'sakrum', 'pubis')",40.08412341501654
"('lokma', 'abdulmenaf', 'ekrem')",40.08412341501654
"('menderes', 'gaziemir', 'migros')",40.08412341501654
"('gereksinme', 'işler', 'mollamahmutoğlu')",40.08412341501654
"('log', 'wireli', 'çimentolama')",40.08412341501654
"('ezeli', 'ebedi', 'düşman')",40.08412341501654
"('kürt', 'çizgisi', 'kobane')",40.08412341501654
"('8x0', '3cm', '2x3cm')",40.08412341501654
"('aytekin', 'aygül', 'özmen')",40.08412341501654
"('döşenme', 'lata', 'kapla')",40.08412341501654
"('ellis', 'sayan', 'ülkücü')",40.08412341501654
"('depozitörünü', 'depozitörün', 'elek')",40.08412341501654
"('food', 'night', 'out')",40.08412341501654
"('gökçek', 'karaca', 'kocabaş')",40.08412341501654
"('indirmek', 'mesajlaşmak', 'haberleşmek')",40.08412341501654
"('keser', 'terazi', 'önlük')",40.08412341501654
"('kobane', 'kürt', 'çizgisi')",40.08412341501654
"('korpu', 'çökme', 'sakrum')",40.08412341501654
"('lateralinde', '5x3cm', 'mor')",39.49916091429539
"('şerefsiz', 'or', 'pu')",39.49916091429539
"('şap', 'mantolama', 'mineral')",39.49916091429539
"('vuittion', 'malletier', 'fred')",39.49916091429539
"('tampon', 'kaput', 'çizik')",39.49916091429539
"('recep', 'hasret', 'ogün')",39.49916091429539
"('orbita', 'lateralinde', 'zigoma')",39.49916091429539
"('noktasal', 'hiperekojen', 'odak')",39.49916091429539
"('latif', 'nadide', 'güzellik')",39.49916091429539
"('kamil', 'poyraz', 'saffet')",39.49916091429539
"('lata', 'kapla', 'ahşap')",39.49916091429539
"('filtreli', 'kabin', 'boyahane')",39.49916091429539
"('engelle', 'çetiner', 'selma')",39.49916091429539
"('doğrult', 'iteleyerek', 'gayret')",39.49916091429539
"('beklenti', 'sokup', 'sokmayacak')",39.49916091429539
"('axel', 'springer', 'ag')",39.49916091429539
"('akgün', 'erdal', 'erdoğan')",39.49916091429539
"('kapla', 'ahşap', 'oturt')",39.49916091429539
"('banyo', 'kuş', 'halka')",39.08412341501654
"('center', 'cook', 'book')",39.08412341501654
"('bordür', 'döşenme', 'lata')",39.08412341501654
"('biji', 'serok', 'apo')",39.08412341501654
"('5cm', '7x0', '3cm')",39.08412341501654
"('apo', 'ygp', 'direniş')",39.08412341501654
"('7x0', '3cm', '2x2cm')",39.08412341501654
"('5x0', '5cm', '7x0')",39.08412341501654
"('cin', 'musallat', 'uyku')",39.08412341501654
